Magma V2.29-4     Tue May 19 2026 14:19:04 on mordell  [Seed = 2015257444]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_43/X1_43.m"
The number of places of X1(43)(F2) of degrees 1..11 is:
[ 21, 0, 0, 0, 0, 0, 6, 42, 105, 84, 126 ]
Loaded case 4 cover of size: 694
Searching RR spaces for 971 divisors... (this might take a moment)
Starting parallel computation with 971 tasks across 32 workers...
4/971 (0.4120%) | elapsed=142s | ETA=34403s | core-time/task=1138s
8/971 (0.8239%) | elapsed=171s | ETA=20631s | core-time/task=685s
12/971 (1.236%) | elapsed=365s | ETA=29198s | core-time/task=974s
16/971 (1.648%) | elapsed=432s | ETA=25828s | core-time/task=865s
20/971 (2.060%) | elapsed=458s | ETA=21813s | core-time/task=734s
24/971 (2.472%) | elapsed=475s | ETA=18775s | core-time/task=634s
28/971 (2.884%) | elapsed=488s | ETA=16438s | core-time/task=557s
32/971 (3.296%) | elapsed=506s | ETA=14848s | core-time/task=506s
36/971 (3.708%) | elapsed=577s | ETA=15004s | core-time/task=513s
40/971 (4.120%) | elapsed=628s | ETA=14621s | core-time/task=502s
44/971 (4.531%) | elapsed=750s | ETA=15806s | core-time/task=545s
48/971 (4.943%) | elapsed=859s | ETA=16521s | core-time/task=572s
52/971 (5.355%) | elapsed=906s | ETA=16026s | core-time/task=558s
56/971 (5.767%) | elapsed=919s | ETA=15020s | core-time/task=525s
60/971 (6.179%) | elapsed=941s | ETA=14300s | core-time/task=502s
64/971 (6.591%) | elapsed=967s | ETA=13706s | core-time/task=483s
68/971 (7.003%) | elapsed=1037s | ETA=13776s | core-time/task=488s
72/971 (7.415%) | elapsed=1080s | ETA=13487s | core-time/task=480s
76/971 (7.827%) | elapsed=1206s | ETA=14212s | core-time/task=508s
80/971 (8.239%) | elapsed=1287s | ETA=14343s | core-time/task=515s
84/971 (8.650%) | elapsed=1352s | ETA=14277s | core-time/task=515s
88/971 (9.062%) | elapsed=1371s | ETA=13756s | core-time/task=498s
92/971 (9.475%) | elapsed=1397s | ETA=13348s | core-time/task=485s
96/971 (9.887%) | elapsed=1439s | ETA=13117s | core-time/task=479s
100/971 (10.30%) | elapsed=1478s | ETA=12875s | core-time/task=473s
104/971 (10.71%) | elapsed=1529s | ETA=12746s | core-time/task=470s
108/971 (11.12%) | elapsed=1672s | ETA=13361s | core-time/task=495s
112/971 (11.53%) | elapsed=1722s | ETA=13209s | core-time/task=492s
116/971 (11.95%) | elapsed=1785s | ETA=13159s | core-time/task=492s
120/971 (12.36%) | elapsed=1803s | ETA=12792s | core-time/task=481s
124/971 (12.77%) | elapsed=1875s | ETA=12809s | core-time/task=483s
128/971 (13.18%) | elapsed=1899s | ETA=12509s | core-time/task=474s
