Magma V2.29-4     Fri May 22 2026 02:01:33 on mordell  [Seed = 1563987523]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_N_positive_rank/X1_57.m"
The number of places of X1(57)(F2) of degrees 1..12 is:
[ 18, 9, 0, 0, 0, 2, 36, 18, 4, 216, 126, 381 ]
Searching RR spaces for 308 divisors... (this might take a moment)
Starting parallel computation with 308 tasks across 32 workers...
1/308 (0.3247%) | elapsed=7997s | ETA=2455241s | core-time/task=255920s
2/308 (0.6494%) | elapsed=8071s | ETA=1235009s | core-time/task=129151s
3/308 (0.9740%) | elapsed=8435s | ETA=857577s | core-time/task=89975s
4/308 (1.299%) | elapsed=8978s | ETA=682328s | core-time/task=71824s
5/308 (1.623%) | elapsed=9174s | ETA=555965s | core-time/task=58715s
6/308 (1.948%) | elapsed=9191s | ETA=462620s | core-time/task=49019s
7/308 (2.273%) | elapsed=9194s | ETA=395378s | core-time/task=42033s
8/308 (2.597%) | elapsed=9253s | ETA=347021s | core-time/task=37015s
9/308 (2.922%) | elapsed=9314s | ETA=309444s | core-time/task=33117s
10/308 (3.247%) | elapsed=9460s | ETA=281920s | core-time/task=30273s
11/308 (3.572%) | elapsed=9464s | ETA=255531s | core-time/task=27532s
12/308 (3.896%) | elapsed=9489s | ETA=234071s | core-time/task=25305s
13/308 (4.221%) | elapsed=9519s | ETA=216025s | core-time/task=23433s
14/308 (4.545%) | elapsed=9525s | ETA=200030s | core-time/task=21772s
15/308 (4.870%) | elapsed=9572s | ETA=186977s | core-time/task=20420s
16/308 (5.195%) | elapsed=9572s | ETA=174695s | core-time/task=19144s
17/308 (5.520%) | elapsed=9574s | ETA=163895s | core-time/task=18022s
18/308 (5.844%) | elapsed=9652s | ETA=155510s | core-time/task=17159s
19/308 (6.169%) | elapsed=9669s | ETA=147078s | core-time/task=16285s
20/308 (6.494%) | elapsed=9680s | ETA=139404s | core-time/task=15489s
21/308 (6.818%) | elapsed=9688s | ETA=132404s | core-time/task=14762s
22/308 (7.143%) | elapsed=9751s | ETA=126768s | core-time/task=14183s
23/308 (7.468%) | elapsed=9790s | ETA=121319s | core-time/task=13621s
24/308 (7.792%) | elapsed=9807s | ETA=116052s | core-time/task=13076s
25/308 (8.117%) | elapsed=9807s | ETA=111022s | core-time/task=12553s
26/308 (8.441%) | elapsed=9811s | ETA=106415s | core-time/task=12075s
27/308 (8.767%) | elapsed=9813s | ETA=102138s | core-time/task=11631s
28/308 (9.091%) | elapsed=9839s | ETA=98396s | core-time/task=11245s
29/308 (9.416%) | elapsed=9859s | ETA=94857s | core-time/task=10879s
30/308 (9.740%) | elapsed=9881s | ETA=91570s | core-time/task=10540s
31/308 (10.06%) | elapsed=10088s | ETA=90145s | core-time/task=10413s
32/308 (10.39%) | elapsed=10532s | ETA=90838s | core-time/task=10532s
33/308 (10.71%) | elapsed=11188s | ETA=93240s | core-time/task=10849s
34/308 (11.04%) | elapsed=12848s | ETA=103541s | core-time/task=12092s
35/308 (11.36%) | elapsed=13336s | ETA=104025s | core-time/task=12193s
36/308 (11.69%) | elapsed=14062s | ETA=106247s | core-time/task=12499s
37/308 (12.01%) | elapsed=14080s | ETA=103132s | core-time/task=12178s
38/308 (12.34%) | elapsed=14682s | ETA=104322s | core-time/task=12364s
39/308 (12.66%) | elapsed=14930s | ETA=102985s | core-time/task=12251s
40/308 (12.99%) | elapsed=15521s | ETA=103993s | core-time/task=12417s
41/308 (13.31%) | elapsed=15737s | ETA=102485s | core-time/task=12282s
42/308 (13.64%) | elapsed=16290s | ETA=103172s | core-time/task=12411s
43/308 (13.96%) | elapsed=16470s | ETA=101506s | core-time/task=12257s
44/308 (14.29%) | elapsed=16756s | ETA=100537s | core-time/task=12186s
45/308 (14.61%) | elapsed=16833s | ETA=98383s | core-time/task=11970s
46/308 (14.94%) | elapsed=16912s | ETA=96326s | core-time/task=11765s
