Magma V2.29-4     Thu May 21 2026 17:42:42 on mordell  [Seed = 2015170733]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_32/X1_32.m"
Loaded 22606 covering divisors.
Searching RR spaces for 22606 divisors...
113/22606 (0.4999%) | elapsed=86s | ETA=17190s | deg8 pole divisors=5 | <=7=false | deg9=false
226/22606 (0.9998%) | elapsed=177s | ETA=17544s | deg8 pole divisors=11 | <=7=false | deg9=false
339/22606 (1.500%) | elapsed=256s | ETA=16835s | deg8 pole divisors=17 | <=7=false | deg9=false
452/22606 (2.000%) | elapsed=349s | ETA=17137s | deg8 pole divisors=21 | <=7=false | deg9=false
565/22606 (2.499%) | elapsed=445s | ETA=17380s | deg8 pole divisors=26 | <=7=false | deg9=false
678/22606 (2.999%) | elapsed=537s | ETA=17382s | deg8 pole divisors=28 | <=7=false | deg9=false
791/22606 (3.499%) | elapsed=615s | ETA=16972s | deg8 pole divisors=32 | <=7=false | deg9=false
904/22606 (3.999%) | elapsed=697s | ETA=16748s | deg8 pole divisors=33 | <=7=false | deg9=false
1017/22606 (4.499%) | elapsed=779s | ETA=16548s | deg8 pole divisors=35 | <=7=false | deg9=false
1130/22606 (4.999%) | elapsed=859s | ETA=16334s | deg8 pole divisors=35 | <=7=false | deg9=false
1243/22606 (5.499%) | elapsed=948s | ETA=16294s | deg8 pole divisors=35 | <=7=false | deg9=false
1356/22606 (5.999%) | elapsed=1034s | ETA=16206s | deg8 pole divisors=35 | <=7=false | deg9=false
1469/22606 (6.498%) | elapsed=1125s | ETA=16191s | deg8 pole divisors=36 | <=7=false | deg9=false
1582/22606 (6.998%) | elapsed=1216s | ETA=16160s | deg8 pole divisors=37 | <=7=false | deg9=false
1695/22606 (7.498%) | elapsed=1301s | ETA=16050s | deg8 pole divisors=37 | <=7=false | deg9=false
1808/22606 (7.998%) | elapsed=1390s | ETA=15990s | deg8 pole divisors=37 | <=7=false | deg9=false
1921/22606 (8.498%) | elapsed=1482s | ETA=15967s | deg8 pole divisors=37 | <=7=false | deg9=false
2034/22606 (8.998%) | elapsed=1560s | ETA=15781s | deg8 pole divisors=37 | <=7=false | deg9=false
2147/22606 (9.497%) | elapsed=1647s | ETA=15702s | deg8 pole divisors=38 | <=7=false | deg9=false
2260/22606 (9.997%) | elapsed=1725s | ETA=15537s | deg8 pole divisors=40 | <=7=false | deg9=false
2373/22606 (10.50%) | elapsed=1806s | ETA=15405s | deg8 pole divisors=40 | <=7=false | deg9=false
2486/22606 (11.00%) | elapsed=1885s | ETA=15259s | deg8 pole divisors=41 | <=7=false | deg9=false
2599/22606 (11.50%) | elapsed=1971s | ETA=15174s | deg8 pole divisors=41 | <=7=false | deg9=false
