curve,N,g,an_r,index,abramovich_lb,gon_Q_lb,gon_Q_ub_DvH14,f7,f8,f9,p7,p8,p9,note
"X1(2,2)",2,0,0,6,,,,,,,,,,
"X1(2,4)",4,0,0,12,,,,,,,,,,
"X1(2,6)",6,0,0,24,,,,,,,,,,
"X1(2,8)",8,0,0,48,,,,,,,,,,
"X1(2,10)",10,1,0,72,,,,,,,,,,
"X1(2,12)",12,1,0,96,,,,,,,,,,
"X1(2,14)",14,4,0,144,,,,,,,,,,
"X1(2,16)",16,5,0,192,,,,,,,,,,
"X1(2,18)",18,7,0,216,,,,,,,,,,
"X1(2,20)",20,9,0,288,,,,,,,,,,
"X1(2,22)",22,16,0,360,,,,,,,,,,
"X1(2,24)",24,13,0,384,,,,,,,,,,
"X1(2,26)",26,25,0,504,,,,,,,,,,
"X1(2,28)",28,25,0,576,,,,,,,,,,
"X1(2,30)",30,25,0,576,,,,,,,,,,
"X1(2,32)",32,37,0,768,,,,,,,,,,
"X1(2,34)",34,49,0,864,,,,,,,,,,
"X1(2,36)",36,41,0,864,,,,,,,,,,
"X1(2,38)",38,64,0,1080,,,,,,,,,,
"X1(2,40)",40,57,0,1152,,,,,,,,,,
"X1(2,42)",42,61,0,1152,,,,,,,,,,
"X1(2,44)",44,81,1,1440,,,,,,,,,,
"X1(2,46)",46,100,1,1584,,,,,,,,,,
"X1(2,48)",48,81,0,1536,,,,,,,,,,
"X1(2,50)",50,109,0,1800,,,,,,,,,,
"X1(2,52)",52,121,0,2016,,,,,,,,,,
"X1(2,54)",54,118,0,1944,,,,,,,,,,
"X1(2,56)",56,133,1,2304,,,,,,,,,,
"X1(2,58)",58,169,2,2520,,,,,,,,,,
"X1(2,60)",60,129,0,2304,,,,,,,,,,
"X1(2,62)",62,196,1,2880,,,,,,,,,,
"X1(2,64)",64,193,1,3072,,,,,,,,,,
