curve,N,g,an_r,index,abramovich_lb,gon,f7,f8,f9,p7,p8,p9,note
X1(1),1,0,0,1,0.01,,,,,,,,
X1(2),2,0,0,3,0.03,,,,,,,,
X1(3),3,0,0,4,0.04,,,,,,,,
X1(4),4,0,0,6,0.06,,,,,,,,
X1(5),5,0,0,12,0.12,,,,,,,,
X1(6),6,0,0,12,0.12,,,,,,,,
X1(7),7,0,0,24,0.24,,,,,,,,
X1(8),8,0,0,24,0.24,,,,,,,,
X1(9),9,0,0,36,0.36,,,,,,,,
X1(10),10,0,0,36,0.36,,,,,,,,
X1(11),11,1,0,60,0.60,,,,,,,,
X1(12),12,0,0,48,0.48,,,,,,,,
X1(13),13,2,0,84,0.83,,,,,,,,
X1(14),14,1,0,72,0.71,,,,,,,,
X1(15),15,1,0,96,0.95,,,,,,,,
X1(16),16,2,0,96,0.95,,,,,,,,
X1(17),17,5,0,144,1.43,,,,,,,,
X1(18),18,2,0,108,1.07,,,,,,,,
X1(19),19,7,0,180,1.79,,,,,,,,
X1(20),20,3,0,144,1.43,,,,,,,,
X1(21),21,5,0,192,1.90,,,,,,,,
X1(22),22,6,0,180,1.79,,,,,,,,
X1(23),23,12,0,264,2.62,,,,,,,,
X1(24),24,5,0,192,1.90,,,,,,,,
X1(25),25,12,0,300,2.98,,,,,,,,
X1(26),26,10,0,252,2.50,,,,,,,,
X1(27),27,13,0,324,3.21,,,,,,,,
X1(28),28,10,0,288,2.86,,,,,,,,
X1(29),29,22,0,420,4.17,,,,,,,,
X1(30),30,9,0,288,2.86,,,,,,,,
X1(31),31,26,0,480,4.76,,,,,,,,
X1(32),32,17,0,384,3.81,,,,,,,,
X1(33),33,21,0,480,4.76,,,,,,,,
X1(34),34,21,0,432,4.28,,,,,,,,
X1(35),35,25,0,576,5.71,,,,,,,,
X1(36),36,17,0,432,4.28,,,,,,,,
X1(37),37,40,1,684,6.78,,,,,,,,
X1(38),38,28,0,540,5.36,,,,,,,,
X1(39),39,33,0,672,6.67,,,,,,,,
X1(40),40,25,0,576,5.71,,,,,,,,
X1(41),41,51,0,840,8.33,,,,,,,,
X1(42),42,25,0,576,5.71,,,,,,,,
X1(43),43,57,1,924,9.16,,,,,,,,
X1(44),44,36,0,720,7.14,,,,,,,,
X1(45),45,41,0,864,8.57,,,,,,,,
X1(46),46,45,0,792,7.86,,,,,,,,
X1(47),47,70,0,1104,10.95,,,,,,,,
X1(48),48,37,0,768,7.62,,,,,,,,
X1(49),49,69,0,1176,11.66,,,,,,,,
X1(50),50,48,0,900,8.93,,,,,,,,
X1(51),51,65,0,1152,11.43,,,,,,,,
X1(52),52,55,0,1008,10.00,,,,,,,,
X1(53),53,92,1,1404,13.93,,,,,,,,
X1(54),54,52,0,972,9.64,,,,,,,,
X1(55),55,81,0,1440,14.28,,,,,,,,
X1(56),56,61,0,1152,11.43,,,,,,,,
X1(57),57,85,1,1440,14.28,,,,,,,,
X1(58),58,78,1,1260,12.50,,,,,,,,
X1(59),59,117,0,1740,17.26,,,,,,,,
X1(60),60,57,0,1152,11.43,,,,,,,,
X1(61),61,126,3,1860,18.45,,,,,,,,
X1(62),62,91,0,1440,14.28,,,,,,,,
X1(63),63,97,2,1728,17.14,,,,,,,,
X1(64),64,93,0,1536,15.23,,,,,,,,
